selected,abbrevref_id,isolabel_ext,abbrev,insert_date,default_abbrev
t,5,EC,ec,2023-11-30,f
t,5,EC-A,ec;a,2023-11-30,f
t,5,EC-A,ec;azuay,2023-11-30,f
t,1,EC-A-CamiloPonceEnriquez,EC-A-CPE,2022-09-14,f
t,5,EC-A-CamiloPonceEnriquez,ec;a;camilo.ponce.enriquez,2023-11-30,f
t,5,EC-A-CamiloPonceEnriquez,ec;azuay;camilo.ponce.enriquez,2023-11-30,f
t,1,EC-A-Chordeleg,EC-A-CHO,2022-09-14,f
t,5,EC-A-Chordeleg,ec;a;chordeleg,2023-11-30,f
t,5,EC-A-Chordeleg,ec;azuay;chordeleg,2023-11-30,f
t,1,EC-A-Cuenca,EC-A-CUE,2022-09-14,f
t,5,EC-A-Cuenca,ec;a;cuenca,2023-11-30,f
t,5,EC-A-Cuenca,ec;azuay;cuenca,2023-11-30,f
t,1,EC-A-ElPan,EC-A-ELP,2022-09-14,f
t,5,EC-A-ElPan,ec;a;el.pan,2023-11-30,f
t,5,EC-A-ElPan,ec;azuay;el.pan,2023-11-30,f
t,1,EC-A-Giron,EC-A-GIR,2022-09-14,f
t,5,EC-A-Giron,ec;a;giron,2023-11-30,f
t,5,EC-A-Giron,ec;azuay;giron,2023-11-30,f
t,1,EC-A-Guachapala,EC-A-GUA,2022-09-14,f
t,5,EC-A-Guachapala,ec;a;guachapala,2023-11-30,f
t,5,EC-A-Guachapala,ec;azuay;guachapala,2023-11-30,f
t,1,EC-A-Gualaceo,EC-A-GUL,2022-09-14,f
t,5,EC-A-Gualaceo,ec;a;gualaceo,2023-11-30,f
t,5,EC-A-Gualaceo,ec;azuay;gualaceo,2023-11-30,f
t,1,EC-A-Nabon,EC-A-NAB,2022-09-14,f
t,5,EC-A-Nabon,ec;a;nabon,2023-11-30,f
t,5,EC-A-Nabon,ec;azuay;nabon,2023-11-30,f
t,1,EC-A-Ona,EC-A-ONA,2022-09-14,f
t,5,EC-A-Ona,ec;a;ona,2023-11-30,f
t,5,EC-A-Ona,ec;azuay;ona,2023-11-30,f
t,1,EC-A-Paute,EC-A-PAT,2022-09-14,f
t,5,EC-A-Paute,ec;a;paute,2023-11-30,f
t,5,EC-A-Paute,ec;azuay;paute,2023-11-30,f
t,1,EC-A-Pucara,EC-A-PUC,2022-09-14,f
t,5,EC-A-Pucara,ec;a;pucara,2023-11-30,f
t,5,EC-A-Pucara,ec;azuay;pucara,2023-11-30,f
t,1,EC-A-SanFernando,EC-A-SNF,2022-09-14,f
t,5,EC-A-SanFernando,ec;a;san.fernando,2023-11-30,f
t,5,EC-A-SanFernando,ec;azuay;san.fernando,2023-11-30,f
t,1,EC-A-SantaIsabel,EC-A-SIS,2022-09-14,f
t,5,EC-A-SantaIsabel,ec;a;santa.isabel,2023-11-30,f
t,5,EC-A-SantaIsabel,ec;azuay;santa.isabel,2023-11-30,f
t,1,EC-A-SevillaOro,EC-A-SVO,2022-09-14,f
t,5,EC-A-SevillaOro,ec;a;sevilla.oro,2023-11-30,f
t,5,EC-A-SevillaOro,ec;azuay;sevilla.oro,2023-11-30,f
t,1,EC-A-Sigsig,EC-A-SIG,2022-09-14,f
t,5,EC-A-Sigsig,ec;a;sigsig,2023-11-30,f
t,5,EC-A-Sigsig,ec;azuay;sigsig,2023-11-30,f
t,5,EC-B,ec;b,2023-11-30,f
t,5,EC-B,ec;bolivar,2023-11-30,f
t,1,EC-B-Caluma,EC-B-CAL,2022-09-14,f
t,5,EC-B-Caluma,ec;b;caluma,2023-11-30,f
t,5,EC-B-Caluma,ec;bolivar;caluma,2023-11-30,f
t,1,EC-B-Chillanes,EC-B-CHI,2022-09-14,f
t,5,EC-B-Chillanes,ec;b;chillanes,2023-11-30,f
t,5,EC-B-Chillanes,ec;bolivar;chillanes,2023-11-30,f
t,1,EC-B-Chimbo,EC-B-CHB,2022-09-14,f
t,5,EC-B-Chimbo,ec;b;chimbo,2023-11-30,f
t,5,EC-B-Chimbo,ec;bolivar;chimbo,2023-11-30,f
t,1,EC-B-Echeandia,EC-B-ECH,2022-09-14,f
t,5,EC-B-Echeandia,ec;b;echeandia,2023-11-30,f
t,5,EC-B-Echeandia,ec;bolivar;echeandia,2023-11-30,f
t,1,EC-B-Guaranda,EC-B-GUA,2022-09-14,f
t,5,EC-B-Guaranda,ec;b;guaranda,2023-11-30,f
t,5,EC-B-Guaranda,ec;bolivar;guaranda,2023-11-30,f
t,1,EC-B-LasNaves,EC-B-LSN,2022-09-14,f
t,5,EC-B-LasNaves,ec;b;las.naves,2023-11-30,f
t,5,EC-B-LasNaves,ec;bolivar;las.naves,2023-11-30,f
t,1,EC-B-SanMiguel,EC-B-SML,2022-09-14,f
t,5,EC-B-SanMiguel,ec;b;san.miguel,2023-11-30,f
t,5,EC-B-SanMiguel,ec;bolivar;san.miguel,2023-11-30,f
t,5,EC-C,ec;c,2023-11-30,f
t,5,EC-C,ec;carchi,2023-11-30,f
t,1,EC-C-Bolivar,EC-C-BOL,2022-09-14,f
t,5,EC-C-Bolivar,ec;c;bolivar,2023-11-30,f
t,5,EC-C-Bolivar,ec;carchi;bolivar,2023-11-30,f
t,1,EC-C-Espejo,EC-C-ESP,2022-09-14,f
t,5,EC-C-Espejo,ec;c;espejo,2023-11-30,f
t,5,EC-C-Espejo,ec;carchi;espejo,2023-11-30,f
t,1,EC-C-Mira,EC-C-MIR,2022-09-14,f
t,5,EC-C-Mira,ec;c;mira,2023-11-30,f
t,5,EC-C-Mira,ec;carchi;mira,2023-11-30,f
t,1,EC-C-Montufar,EC-C-MOT,2022-09-14,f
t,5,EC-C-Montufar,ec;c;montufar,2023-11-30,f
t,5,EC-C-Montufar,ec;carchi;montufar,2023-11-30,f
t,1,EC-C-SanPedroHuaca,EC-C-SPH,2022-09-14,f
t,5,EC-C-SanPedroHuaca,ec;c;san.pedro.huaca,2023-11-30,f
t,5,EC-C-SanPedroHuaca,ec;carchi;san.pedro.huaca,2023-11-30,f
t,1,EC-C-Tulcan,EC-C-TUL,2022-09-14,f
t,5,EC-C-Tulcan,ec;c;tulcan,2023-11-30,f
t,5,EC-C-Tulcan,ec;carchi;tulcan,2023-11-30,f
t,5,EC-D,ec;d,2023-11-30,f
t,5,EC-D,ec;orellana,2023-11-30,f
t,1,EC-D-Aguarico,EC-D-AGO,2022-09-14,f
t,5,EC-D-Aguarico,ec;d;aguarico,2023-11-30,f
t,5,EC-D-Aguarico,ec;orellana;aguarico,2023-11-30,f
t,1,EC-D-FranciscoOrellana,EC-D-FDO,2022-09-14,f
t,5,EC-D-FranciscoOrellana,ec;d;francisco.orellana,2023-11-30,f
t,5,EC-D-FranciscoOrellana,ec;orellana;francisco.orellana,2023-11-30,f
t,1,EC-D-JoyaSachas,EC-D-JDO,2022-09-14,f
t,5,EC-D-JoyaSachas,ec;d;joya.sachas,2023-11-30,f
t,5,EC-D-JoyaSachas,ec;orellana;joya.sachas,2023-11-30,f
t,1,EC-D-Loreto,EC-D-LOR,2022-09-14,f
t,5,EC-D-Loreto,ec;d;loreto,2023-11-30,f
t,5,EC-D-Loreto,ec;orellana;loreto,2023-11-30,f
t,5,EC-E,ec;e,2023-11-30,f
t,5,EC-E,ec;esmeraldas,2023-11-30,f
t,1,EC-E-Atacames,EC-E-ATA,2022-09-14,f
t,5,EC-E-Atacames,ec;e;atacames,2023-11-30,f
t,5,EC-E-Atacames,ec;esmeraldas;atacames,2023-11-30,f
t,1,EC-E-EloyAlfaro,EC-E-EYA,2022-09-14,f
t,5,EC-E-EloyAlfaro,ec;e;eloy.alfaro,2023-11-30,f
t,5,EC-E-EloyAlfaro,ec;esmeraldas;eloy.alfaro,2023-11-30,f
t,1,EC-E-Esmeraldas,EC-E-ESM,2022-09-14,f
t,5,EC-E-Esmeraldas,ec;e;esmeraldas,2023-11-30,f
t,5,EC-E-Esmeraldas,ec;esmeraldas;esmeraldas,2023-11-30,f
t,1,EC-E-Muisne,EC-E-MUI,2022-09-14,f
t,5,EC-E-Muisne,ec;e;muisne,2023-11-30,f
t,5,EC-E-Muisne,ec;esmeraldas;muisne,2023-11-30,f
t,1,EC-E-Quininde,EC-E-QUI,2022-09-14,f
t,5,EC-E-Quininde,ec;e;quininde,2023-11-30,f
t,5,EC-E-Quininde,ec;esmeraldas;quininde,2023-11-30,f
t,1,EC-E-RioVerde,EC-E-RVE,2022-09-14,f
t,5,EC-E-RioVerde,ec;e;rio.verde,2023-11-30,f
t,5,EC-E-RioVerde,ec;esmeraldas;rio.verde,2023-11-30,f
t,1,EC-E-SanLorenzo,EC-E-SLZ,2022-09-14,f
t,5,EC-E-SanLorenzo,ec;e;san.lorenzo,2023-11-30,f
t,5,EC-E-SanLorenzo,ec;esmeraldas;san.lorenzo,2023-11-30,f
t,5,EC-F,ec;canar,2023-11-30,f
t,5,EC-F,ec;f,2023-11-30,f
t,1,EC-F-Azogues,EC-F-AZO,2022-09-14,f
t,5,EC-F-Azogues,ec;canar;azogues,2023-11-30,f
t,5,EC-F-Azogues,ec;f;azogues,2023-11-30,f
t,1,EC-F-Biblian,EC-F-BIB,2022-09-14,f
t,5,EC-F-Biblian,ec;canar;biblian,2023-11-30,f
t,5,EC-F-Biblian,ec;f;biblian,2023-11-30,f
t,1,EC-F-Canar,EC-F-CAR,2022-09-14,f
